aankondiger	'aN-kOn-d@-G@r
aannemer	'a-ne-m@r
acceptant	Ak-sEp-'tAnt
accountant	A-'kA+n-t@nt
accountmanager	A-'kA+nt-ma-na-G@r
acquisiteur	A-kwi-si-'t2r
actuaris	Ak-ty-'wa-r@s
acupuncturist	a-ky-pYNk-ty-'rIst
adjudant	At-jy-'dAnt
administrateur	Ad-mi-ni-stra-'t2r
advocaat	At-fo-'kat
afdelingsmanager	'Av-de-lINs-ma-na-G@r
afschrijver	'Af-sxrE+-v@r
afslager	'Af-sla-G@r
aftekenaar	'Af-te-k@-nar
afwerker	'Af-wEr-k@r
agoog	a-'Gox
akkerbouwer	'A-k@r-bA+-w@r
akoepedist	a-ku-pe-'dIst
akoesticus	a-'kus-ti-kYs
alchemist	Al-xe-'mIst
amanuensis	a-ma-ny-'wEn-zIs
ambtenaar	'Am-t@-nar
anatoom	a-na-'tom
anders	'An-d@rs
andragoog	An-dra-'Gox
anesthesist	An-Es-te-'zIst
animeermeisje	a-ni-'mer-mE+s-j@
antiquaar	An-ti-'kwar
antiquair	An-ti-'kE:r
apotheker	A-po-'te-k@r
apothekersassistent	A-po-'te-k@rs-A-si-stEnt
arbeidsanalist	'Ar-bE+ts-a-na-lIst
arbeidsbemiddelaar	'Ar-bE+dz-b@-mI-d@-lar
arbeidsdeskundige	Ar-bE+tz-dEs-'kYn-d@-G@
arbeidsgeneesheer	Ar-'bE+t-sx@-nes-her
arbeidskundige	Ar-bE+ts-'kYn-d@-G@
arbeidstherapeut	'Ar-bE+ts-te-ra-p2t
archeoloog	Ar-xe-jo-'lox
archiefmedewerker	Ar-'xif-me-d@-wEr-k@r
architect	Ar-Si-'tEkt
archivaris	Ar-xi-'va-r@s
archivist	Ar-xi-'vIst
arrangeur	A-rAn-'Z2r
arrangeur	A-rAn-'Z2r
artdirector	'Ar-dAj-rEk-t@r
artiest	Ar-'tist
arts	'Arts
artsenbezoeker	'Art-s@-b@-zu-k@r
assistent	A-si-'stEnt
assuradeur	A-sy-ra-'d2r
astrofysicus	'As-tro-fi-si-kYs
astroloog	As-tro-'lox
astronaut	As-tro-'nA+t
astronoom	As-tro-'nom
audioloog	'A+-di-jo-lox
auteur	A+-'t2r
autohandelaar	'A+-to-hAn-d@-lar
automonteur	'A+-to-mOn-t2r
bacterioloog	bAk-te-ri-jo-'lox
baker	'ba-k@r
bakker	'bA-k@r
balletdanser	bA-'lE-dAn-s@r
bandagist	bAn-da-'ZIst
bankbediende	'bANg-b@-din-d@
bankdirecteur	'bANg-di-rEk-t2r
banketbakker	bAN-'kEd-bA-k@r
bankier	bAN-'kir
bankwerker	'bANk-wEr-k@r
barbediende	'bAr-b@-din-d@
barhouder	'bAr-hA+-d@r
barman	'bAr-mAn
basgitarist	bA-sxi-ta-'rIst
basketballer	'bAs-k@d-bA-l@r
bassist	bA-'sIst
bedienaar	b@-'di-nar
bedrijfsdirecteur	b@-'drE+vz-di-rEk-t2r
bedrijfseconoom	b@-'drE+fs-e-ko-nom
bedrijfshoofd	b@-'drE+fs-hoft
bedrijfskundige	b@-drE+fs-'kYn-d@-G@
bedrijfsleider	b@-'drE+fs-lE+-d@r
beeldhouwer	'belt-hA+-w@r
begeleider	b@-G@-'lE+-d@r
behanger	b@-'hA-N@r
beheerder	b@-'her-d@r
beiaardier	bE+-jar-'dir
bejaardenverzorger	b@-'jar-d@-v@r-zOr-G@r
belastingadviseur	b@-'lAs-tIN-At-fi-z2r
belastingambtenaar	b@-'lAs-tIN-Am-t@-nar
belastingconsulent	b@-'lAs-tIN-kOn-zy-lEnt
belastinginspecteur	b@-'lAs-tIN-In-spEk-t2r
beleidsadviseur	b@-'lE+ts-At-fi-z2r
beleidsambtenaar	b@-'lE+ts-Am-t@-nar
beleidsmedewerker	b@-'lE+ts-me-d@-wEr-k@r
belichter	b@-'lIx-t@r
beroepsmilitair	b@-rups-mi-li-'tE:r
bestuurder	b@-'styr-d@r
bestuurskundige	b@-styrs-'kYn-dI-G@
bestuurssecretaris	b@-'styr-sEk-r@-ta-r@s
beul	'b2l
bewaarder	b@-'war-d@r
bewaker	b@-'wa-k@r
bewegingstherapeut	b@-'we-GINs-te-ra-pY+t
bezorger	b@-'zOr-G@r
bibliothecaris	bi-bli-jo-te-'ka-r@s
bierbrouwer	'bir-brA+-w@r
binnenhuisarchitect	'bI-n@-hY+s-Ar-Si-tEkt
biochemicus	bi-jo-'xe-mi-kYs
biograaf	bi-jo-'Graf
bioloog	bi-jo-'lox
bloemist	blu-'mIst
bloemkweker	'blum-kwe-k@r
bode	'bo-d@
boekbinder	'bug-bIn-d@r
boekhouder	'buk-hA+-d@r
boer	'bur
bookmaker	'buk-me-k@r
boomchirurg	'bom-Si-rYrx
boomkweker	'bom-kwe-k@r
boordwerktuigkundige	bord-wErk-tY+x-'kYn-d@-G@
bootsman	'bots-mAn
boswachter	'bOs-wAx-t@r
bouwpromotor	'bA+w-pro-mo-tOr
brandmeester	'brAnd-mes-t@r
brandwacht	'brAnd-wAxt
