aalscholver	'al-sxOl-v@r
aap	'ap
aardmannetje	'ard-mA-n@-tj@
aasgier	'as-xir
agapornis	a-Ga-'pOr-nIs
ai	'Aj
alk	'Alk
alpaca	'Al-pa-ka
arendbuizerd	'a-r@nd-bY+-z@rt
atalanta	a-ta-'lAn-ta
atlasvlinder	'At-lAs-flIn-d@r
axolotl	'Ak-so-lOtl
bergeend	'bErG-ent
bergleeuw	'bEr-Glew
bever	'be-v@r
beverrat	'be-v@-rAt
bijeneter	'bE+-j@-e-t@r
bongo	'bON-go
boomklever	'bom-kle-v@r
boommarter	'bo-mAr-t@r
bosduivel	'bOz-dY+-v@l
bosfazant	'bOs-fa-zAnt
bosuil	'bOs-Y+l
brahma	'brAG-ma
brandgans	'brAnt-xAns
brilslang	'brIl-slAN
brulaap	'brYl-ap
buizerd	'bY+-z@rt
bunzing	'bYn-zIN
cheeta	'tSi-ta
chinchilla	tSIn-'tSI-la
cobra	'ko-bra
dagpauwoog	'dAx-pA+w-ox
damhert	'dAm-hErt
das	'dAs
dromedaris	dro-m@-'da-r@s
edelhert	'e-d@l-hErt
eekhoorn	'ek-horn
egel	'e-G@l
eiber	'E+-b@r
eidereend	'E+-d@r-ent
eikelmuis	'E+-k@l-mY+s
ekster	'Ek-st@r
eland	'e-lAnt
emoe	'e-mu
ever	'e-v@r
everzwijn	'e-v@r-zwE+n
flamingo	fla-'mIN-go
fluiteend	'flY+t-ent
fuut	'fyt
garibaldi	ga-ri-'bAl-di
gems	'xEms
gifkikker	'xIf-kI-k@r
giraffe	xi-'rA-f@
goochelaar	'xo-x@-lar
gorilla	xo-'rI-la
goudfazant	'xA+t-fa-zAnt
goudvis	'xA+t-fIs
grasparkiet	'xrAs-pAr-kit
groentje	'xrun-tj@
haas	'has
hamerkop	'ha-m@r-kOp
hamster	'hAm-st@r
hazelmuis	'ha-z@l-mY+s
hazelworm	'ha-z@l-wOrm
heremietkreeft	he-re-'mit-kreft
hermelijn	hEr-m@-'lE+n
hond	'hOnt
honingbeer	'ho-nIN-ber
hooibeestje	'hoj-best-j@
hoornaar	'hor-nar
houtduif	'hA+-dY+f
