afghanistan	Af-'xa-ni-stAn
algerije	Al-G@-'rE+-j@
andorra	An-'dO-ra
angola	AN-'Go-la
anguilla	A-'NY+-la
aruba	a-'ru-ba
bahama's	ba-'ha-mas
bahrein	bAG-'rE+n
bangladesh	bAN-gla-'dES
barbados	bAr-'be-dOs
belize	be-'li-z@
benin	be-'nin
bermuda	bEr-'my-da
bhutan	bu-'tAn
botswana	bOts-'wa-na
brunei	bry-'nE+
bulgarije	bYl-Ga-'rE+-j@
burundi	bu-'run-di
cambodja	kAm-'bOt-ja
chili	'Si-li
christmaseiland	'xrIst-ma-sE+-lAnt
colombia	ko-'lOm-bi-ja
congo-brazzaville	'kOn-Go-'brA-za-vI-l@
cookeilanden	'ko-kE+-lAn-d@
cuba	'ku-ba
djibouti	dZi-'bu-ti
dominica	do-'mi-ni-ka
ecuador	'e-kwa-dOr
egypte	e-'GIp-t@
equatoriaal-guinea	ek-wa-to-ri-'jal-xY+-ne-ja
eritrea	e-ri-'tre-ja
estland	'Est-lant
falklandeilanden	'fAl-klAn-dE+-lAn-d@
gabon	xa-'bOn
gambia	'xAm-bi-ja
ghana	'xa-na
gibraltar	xi-'brAl-tAr
grenada	xre-'na-da
groenland	'xrun-lAnt
guadeloupe	gwa-d@-'lup
guam	'xy-wAm
guatemala	gu-wa-t@-'ma-la
guernsey	'gY:rn-zi
guinee	xi-'ne
guyana	xwi-'ja-na
honduras	hOn-'du-rAs
hongarije	hON-Ga-'rE+-j@
hongkong	hON-'kON
ierland	'ir-lAnt
ijsland	'E+s-lAnt
iran	i-'ran
jamaica	ja-'mAj-ka
japan	dZ@-'pE:n
jemen	'je-mEn
jersey	'dZYr-si
kameroen	ka-m@-'run
kazachstan	'ka-zAk-stAn
kenia	'ke-ni-ja
kiribati	ki-ri-'bat-si
koeweit	'ku-wE+t
laos	'la-Os
lesotho	le-'so-to
letland	'lEt-lAnt
libanon	'li-ba-nOn
liberia	li-'be-ri-ja
liechtenstein	'lix-t@n-stAjn
litouwen	'li-tA+-w@
luxemburg	'lyk-s@m-bYrx
macau	ma-'kA+
madagaskar	mA-da-'GAs-kAr
malawi	ma-la-'wi
maldiven	mAl-'di-v@
mali	'ma-li
malta	'mAl-ta
man	'mAn
marokko	ma-'rO-ko
marshalleilanden	'mArs-hA-lE+-lAn-d@
martinique	mAr-ti-'nik
monaco	mo-'na-ko
montenegro	mOn-t@-'ne-gro
montserrat	'mOnt-sE-rAt
mozambique	mo-zAm-'bik
nauru	'nA+-ry
niger	'ni-GEr
niue	ni-jy-'we
norfolk	'nOr-f@k
oeganda	u-'GAn-da
oman	o-'man
oost-timor	os-'ti-mOr
paraguay	'pa-ra-gwAj
peru	pe-'ru
pitcairneilanden	pIt-'kE:rn-E+-lAn-d@
polen	'po-l@
qatar	ka-'tAr
rwanda	ru-'wAn-da
salomonseilanden	sa-lo-mOn-'sE+-lAn-d@
senegal	'se-ne-GAl
seychellen	sE+-'SE-l@
singapore	'sIN-ga-por
sint-maarten	sInt-'mar-t@
slowakije	slo-wa-'kE+-j@
spitsbergen	'spIdz-bEr-G@
suriname	sy-ri-'na-m@
swaziland	'swa-zi-lAnt
taiwan	tAj-'wAn
thailand	'tAj-lAnt
togo	'to-Go
tonga	'tOn-Ga
tsjaad	'tsjat
turkije	tYr-'kE+-j@
turkmenistan	'tYrk-me-nIs-tAn
tuvalu	ty-va-'ly
uruguay	'u-ru-gwAj
vanuatu	va-ny-wa-'ty
vietnam	vjEt-'nAm
wit-rusland	wIt-'rYs-lAnt
zambia	'zAm-bi-ja
zimbabwe	zIm-'bAp-w@
zuid-afrika	zY+t-'a-fri-ka
zweden	'zwe-d@
