teneinde	tEn-'E+n-d@
tussen	'tY-s@
naast	'nast
over	'o-v@r
tijdens	'tE+-d@ns
namens	'na-m@ns
via	'vi-ja
halverwege	hAl-v@r-'we-G@
zijdens	'zE+-d@ns
benevens	b@-'ne-v@ns
als	'Als
binst	'bInst
beoosten	b@-'os-t@
waardoor	war-'dor
nopens	'no-p@ns
ongeacht	'ON-G@-Axt
langst	'lANst
daartegenover	dar-te-G@-'o-v@r
te	t@
versus	'vEr-zYs
bij	'bE+
langsheen	'lANs-hen
rondom	'rOnd-Om
behoudens	b@-'hA+-d@ns
spijts	'spE+ts
blijkens	'blE+-k@ns
anno	'A-no
gegeven	x@-'Ge-v@
ingevolge	IN-G@-'vOl-G@
rechtover	rExt-'o-v@r
sinds	'sInts
t'	t
inzake	In-'za-k@
conform	kOn-'fOrm
ten	'tEn
zonder	'zOn-d@r
naar	'nar
ter	'tEr
uitgenomen	'Y+t-x@-no-m@
vanaf	vAn-'Af
mede	'me-d@
aangaande	'aN-Gan-d@
per	'pEr
doorheen	dor-'hen
bewesten	b@-'wEs-t@
nevenst	'ne-v@nst
mee	'me
jegens	'je-G@ns
&agrave;	'a
betreffende	b@-'trE-f@n-d@
mits	'mIts
qua	'kwa
met	'mEt
neven	'ne-v@
langs	'lANs
daarbij	dar-'bE+
on	'On
om	'Om
kralj	'krAlj
tegen	'te-G@
voor	'vor
onder	'On-d@r
plus	'plYs
vanop	vAn-'Op
op	'Op
bezuiden	b@-'zY+-d@
bladzij	'blAt-sE+
benoorden	b@-'nor-d@
vanwege	vAn-'we-G@
middels	'mI-d@ls
bovenop	bo-v@-'Op
anti	'An-ti
bezijden	b@-'zE+-d@
neffen	'nE-f@
cq	se-'ky
wegens	'we-G@ns
van	'vAn
afgezien	'Af-x@-zin
tot	'tOt
rond	'rOnt
omstreeks	'Om-streks
contra	'kOn-tra
achter	'Ax-t@r
toe	'tu
onafgezien	o-nAf-x@-'zin
hierop	'hir-Op
door	'dor
vanuit	vAn-'Y+t
volgens	'vOl-G@ns
binnen	'bI-n@
ultimo	'Yl-ti-mo
omheen	Om-'hen
tegenaan	te-G@-'an
me	m@
lopende	'lo-p@n-d@
trots	'trOts
gezien	x@-'zin
aal	'al
aan	'an
zoals	zo-'wAls
aar	'ar
getuige	x@-'tY+-G@
tegenover	te-G@-'o-v@r
waaronder	war-'On-d@r
af	'Af
pro	'pro
in	'In
al	'Al
inclusief	IN-kly-'zif
buiten	'bY+-t@
uit	'Y+t
lastens	'lAs-t@s
gedurende	x@-'dy-r@n-d@
na	'na
krachtens	'krAx-t@ns
behalve	b@-'hAl-v@
't	@t
annex	A-'nEks
boven	'bo-v@
sedert	'se-d@rt
niettegenstaande	ni-te-G@-'stan-d@
voorbij	vor-'bE+
dichtbij	dIGd-'bE+
beneden	b@-'ne-d@
ondanks	'On-dANks
dankzij	'dANk-sE+
luidens	'lY+-d@ns
omtrent	Om-'trEnt
