's-gravendeel	sxra-v@n-'del
's-gravenpolder	sxra-v@-'pOl-d@r
's-gravenzande	sxra-v@-'zAn-d@
's-heerenberg	se-r@m-'bErx
's-heerenhoek	se-r@-'huk
's-hertogenbosch	'sEr-to-G@m-'bOs
aadorp	'a-dOrp
aalburg	'al-bYrx
aalsmeer	als-'mer
aalst	'alst
aalten	'al-t@
aardenburg	'ar-d@m-bYrx
aarle-rixtel	ar-l@-'rIk-st@l
abbekerk	'A-b@-kErk
abbenbroek	'A-b@m-bruk
abcoude	Ap-'kA+-d@
achterberg	'Ax-t@r-bErx
achtkarspelen	Axt-'kAr-sp@-l@
aduard	a-dy-'wArt
aerdenhout	'ar-d@n-hA+t
afferden	'A-f@r-d@
akersloot	'a-k@r-slot
albergen	'Al-bEr-G@
alblasserdam	'Al-blA-s@r-'dAm
albrandswaard	Al-brAnts-'wart
alkmaar	'Alk-mar
almelo	'Al-m@-lo
almere	Al-'me-r@
almkerk	'Alm-kErk
alphen	'Al-f@
alphen-chaam	'Al-f@-'kam
alverna	Al-'vEr-na
ameide	a-'mE+-d@
ameland	'a-m@-lAnt
america	a-'mE-ri-ka
amerongen	'a-m@-rO-N@
amersfoort	'a-m@rs-fort
ammerstol	'A-m@r-'stOl
ammerzoden	'A-m@r-zo-d@
amstelveen	Am-st@l-'ven
amstenrade	'Am-st@-ra-d@
amsterdam	Em-st@r-'dEm
andel	'An-d@l
angerlo	'A-N@r-lo
anjum	'A-JYm
annen	'A-n@
apeldoorn	'a-p@l-dorn
appelscha	'A-p@l-sxa
appingedam	'A-pI-N@-'dAm
arcen	'Ar-s@
arkel	'Ar-k@l
arnemuiden	Ar-n@-'mY+-d@
arnhem	'Ar-nEm
asperen	'As-p@-r@
assen	'A-s@
assendelft	A-s@-'dElft
asten	'As-t@
avenhorn	a-v@-'hOrn
axel	'Ak-s@l
baarle	'bar-l@
baarle-nassau	'bar-l@-'nA-sA+
baarlo	'bar-lo
baarn	'barn
baflo	'bAf-lo
bakhuizen	'bAk-hY+-z@
balk	'bAlk
ballum	'bA-lYm
banholt	'bAn-hOlt
barendrecht	'ba-r@n-drExt
barneveld	'bAr-n@-vElt
barsingerhorn	bAr-sI-N@r-'hOrn
bathmen	'bAt-m@n
bavel	'ba-v@l
bedum	'be-dYm
beek	'bek
beekbergen	'beg-bEr-G@
beemster	'bem-st@r
beerta	'ber-ta
beesd	'best
beesel	'be-s@l
beetsterzwaag	bet-st@r-'zwax
beilen	'bE+-l@
belfeld	'bEl-fElt
bellingwedde	bE-lIN-'wE-d@
bellingwolde	bE-lIN-'wOl-d@
bemmel	'bE-m@l
beneden-leeuwen	b@-'ne-d@-'le-w@
bennebroek	'bE-n@-bruk
bennekom	'bE-n@-kOm
benschop	'bEn-sxOp
benthuizen	'bEnt-hY+-z@
berg	'bErx
bergambacht	bErG-'Am-bAxt
bergeijk	bErG-'E+k
bergen	'bEr-G@
bergschenhoek	bErx-s@-'huk
bergum	'bEr-GYm
berkel-enschot	'bEr-k@l-'En-sxOt
berkenwoude	bEr-k@n-'wA+-d@
berlicum	'bEr-li-kYm
berlikum	'bEr-li-kYm
bernheze	bErn-'hez@
bernisse	bEr-'nI-s@
best	'bEst
beuningen	'b2-nI-N@
beusichem	'b2-zI-xEm
beverwijk	be-v@r-'wE+k
biddinghuizen	'bI-dIN-hY+-z@
bilthoven	'bIlt-ho-v@
binnenmaas	'bI-n@-mas
binnenstad	'bI-n@-stAt
birdaard	'bIr-dart
bladel	'bla-d@l
blaricum	'bla-ri-kYm
bleiswijk	'blE+s-wE+k
blerick	'ble-rIk
bleskensgraaf	blEs-k@ns-'xraf
blijham	'blE+-hAm
blitterswijck	'blI-t@rs-wE+k
bloemendaal	'blu-m@-dal
bocholtz	'bO-xOlts
bodegraven	'bo-d@-Gra-v@
boekel	'bu-k@l
bolsward	'bOls-wArt
bonaire	bo-'nE:-r@
boornbergum	borm-'bEr-GYm
borculo	'bOr-ky-lo
borger	'bOr-G@r
borger-odoorn	'bOr-G@r-'o-dorn
born	'bOrn
borne	'bOr-n@
bornerbroek	bOr-n@r-'bruk
borsele	'bOr-s@-l@
boskamp	'bOs-kAmp
boskoop	'bOs-kop
boven-leeuwen	'bo-v@-'le-w@
bovenkarspel	bo-v@-'kArs-p@l
bovenkerk	'bo-v@-kErk
boxmeer	bOks-'mer
boxtel	'bOk-st@l
brakel	'bra-k@l
breda	bre-'da
bredevoort	'bre-d@-vort
breedeweg	bre-d@-'wEx
breskens	'brEs-k@ns
breugel	'br2-G@l
breukelen	'br2-k@-l@
brielle	'bri-l@
britsum	'brIt-sYm
broeksterwoude	bruk-st@r-'wA+-d@
bronckhorst	'brONk-hOrst
bruchem	'brY-x@m
bruinisse	brY+-'nI-s@
brummen	'brY-m@
brunssum	'brYn-sYm
budel	'by-d@l
buiksloot	'bY+k-slot
buiten	'bY+-t@
buitenpost	'bY+-t@-pOst
bunde	'bYn-d@
bunnik	'bY-nIk
bunschoten	'bYn-sxo-t@
buren	'by-r@
burgh-haamstede	'bYrx-'ham-ste-d@
bussum	'bY-sYm
callantsoog	kA-lAnts-'ox
casteren	'kAs-t@-r@
castricum	'kAs-tri-kYm
centrum	'sEn-trYm
chaam	'kam
clinge	'klI-N@
coevorden	'ku-vOr-d@
colijnsplaat	ko-'lE+ns-plat
colmschate	'kOlm-sxa-t@
cothen	'ko-t@
cromstrijen	'krOm-strE+-j@
cuijk	'kY+k
culemborg	'ky-l@m-bOrx
dalem	'da-l@m
dalen	'da-l@
dalfsen	'dAlf-s@
damwoude	dAm-'wA+-d@
dantumadeel	dAn-ty-ma-'del
dedemsvaart	'de-d@ms-fart
deest	'dest
delden	'dEl-d@
delfgauw	'dElf-xA+w
delft	'dElft
delfzijl	dElf-'sE+l
denekamp	'de-n@-kAmp
deurne	'd2r-n@
deventer	'de-v@n-t@r
didam	di-'dAm
diemen	'di-m@
diepenveen	'di-p@-ven
dieren	'di-r@
diessen	'di-s@
diever	'di-v@r
dinteloord	'dIn-t@l-ort
dinxperlo	'dINks-p@r-lo
dirksland	'dIrks-lAnt
dodewaard	'do-d@-wart
doenrade	'dun-ra-d@
doesburg	'duz-bYrx
doetinchem	'du-tIN-xEm
dokkum	'dO-kYm
dommelen	'dO-m@-l@
dongen	'dO-N@
dongeradeel	dO-N@-ra-'del
donkerbroek	'dON-k@r-'bruk
doorn	'dorn
doornspijk	'dorn-spE+k
dordrecht	'dOr-drExt
drachten	'drAx-t@
drechterland	'drEx-t@r-lAnt
drenthe	'drEn-t@
dreumel	'dr2-m@l
driebergen-rijsenburg	'dri-bEr-G@-'rE+-s@-bYrx
driehuis	'dri-hY+s
driehuizen	'dri-hY+-z@
drimmelen	'drI-m@-l@
dronrijp	'drOn-rE+p
dronten	'drOn-t@
drunen	'dry-n@
druten	'dry-t@
dubbeldam	'dY-b@l-dAm
duiven	'dY+-v@
duivendrecht	'dY+-v@-drExt
duizel	'dY+-z@l
dukenburg	'dy-k@m-bYrx
dussen	'dY-s@
dwingeloo	'dwI-N@-lo
echt	'Ext
echtenerbrug	Ex-t@-n@r-'brYx
edam	e-'dAm
edam-volendam	'e-dAm-'vo-l@-dAm
ede	'e-d@
eefde	'ev-d@
eelde	'el-d@
eemnes	em-'nEs
eemsmond	'ems-mOnt
eerbeek	'er-bek
eersel	'er-s@l
eethen	'e-t@
eext	'ekst
eibergen	'E+-bEr-G@
eijsden	'E+z-d@
eindhoven	'E+nt-ho-v@
elburg	'El-bYrx
elim	'e-lIm
elsloo	'Els-lo
elspeet	'Els-pet
elst	'Elst
emmeloord	E-m@-'lort
emmen	'E-m@
emmer-compascuum	'E-m@r-kOm-'pAs-ky-wYm
empel	'Em-p@l
enkhuizen	ENk-'hY+-z@
ens	'Ens
enschede	'En-sx@-de
enter	'En-t@r
epe	'e-p@
erica	'e-ri-ka
ermelo	'Er-m@-lo
erp	'Erp
escharen	'E-sxa-r@
etten	'E-t@
etten-leur	E-t@-'l2r
ewijk	'e-wE+k
exloo	'Eks-lo
farmsum	'fArm-sYm
ferwerd	'fEr-wErt
ferwerderadeel	fEr-w@r-d@-ra-'del
fijnaart	'fE+-nart
finsterwolde	fIn-st@r-'wOl-d@
flevoland	'fle-vo-lAnt
franeker	'fra-n@-k@r
franekeradeel	fra-n@-k@-ra-'del
friesland	'fris-lAnt
gaanderen	'xan-d@-r@
galder	'xAl-d@r
