omhooghield	Om-'hox-hilt
forensde	fo-'rEnz-d@
doctoreerde	dOk-to-'rer-d@
pareerde	pa-'rer-d@
tuierde	'tY+-j@r-d@
essaaieerde	E-sa-'jer-d@
samensmolt	'sa-m@n-smOlt
afscheidde	'Af-sxE+-d@
zeide	'zE+-d@
sekste	'sEks-t@
uitvlooide	'Y+t-floj-d@
degusteerde	de-GYs-'ter-d@
verwoog	v@r-'wox
tabernakelde	ta-b@r-'na-k@l-d@
farceerde	fAr-'ser-d@
verwijlde	v@r-'wE+l-d@
aanspeldde	'an-spEl-d@
verkleumde	v@r-'kl2m-d@
uitruimde	'Y+t-rY+m-d@
kilde	'kIl-d@
subordineerde	sYb-Or-di-'ner-d@
vervorderde	v@r-'vOr-d@r-d@
versnelde	v@r-'snEl-d@
buitenkuiste	'bY+-t@-kY+s-t@
bijschaafde	'bE+-sxav-d@
kruinde	'krY+n-d@
gereedlag	x@-'red-lAx
condenseerde	kOn-dEn-'zer-d@
vastlijmde	'vAst-lE+m-d@
biljoende	bIl-'jun-d@
apporteerde	A-pOr-'ter-d@
openmaakte	'o-p@-mak-t@
vertakte	v@r-'tAk-t@
afgrauwde	'Af-xrA+w-d@
toornde	'torn-d@
lithografeerde	li-to-Gra-'fer-d@
sjachelde	'SA-x@l-d@
manifesteerde	ma-ni-fEs-'ter-d@
ardoiseerde	Ar-dwA-'zer-d@
berokkende	b@-'rO-k@n-d@
soutacheerde	su-tA-'Ser-d@
aanvraagde	'an-vraG-d@
stierde	'stir-d@
mafte	'mAf-t@
afsmeet	'Af-smet
opbraadde	'O-bra-d@
warmliep	'wArm-lip
kreet	'kret
bedwelmde	b@-'dwElm-d@
krees	'kres
meende	'men-d@
kreeg	'krex
arbitreerde	Ar-bi-'trer-d@
eindde	'E+n-d@
spaakte	'spak-t@
kanode	'ka-no-d@
kromsloot	'krOm-slot
omkieperde	'Om-ki-p@r-d@
dooreenliep	dor-'en-lip
neerliep	'ner-lip
kluste	'klYs-t@
bijpuntte	'bE+-pYn-t@
voorreed	'vo-ret
rechtmaakte	'rExt-mak-t@
beparelde	b@-'pa-r@l-d@
afpakte	'Af-pAk-t@
tegenwerkte	'te-G@-wErk-t@
klaverjaste	kla-v@r-'jAs-t@
naderde	'na-d@r-d@
bestelde	b@-'stEl-d@
overloodde	'o-v@r-lo-d@
tenteerde	tEn-'ter-d@
pacificeerde	pA-si-fi-'ser-d@
vertiendubbelde	v@r-tin-'dY-b@l-d@
ketterde	'kE-t@r-d@
uitstulpte	'Y+t-stYlp-t@
wegleidde	'wEG-lE+-d@
ontstreed	Ont-'stret
castte	'kAs-t@
wegviel	'wEx-fil
vuurde	'vyr-d@
omweidde	'Om-wE+-d@
spotte	'spO-t@
onttroonde	On-'tron-d@
opwies	'Op-wis
ontpolderde	Ont-'pOl-d@r-d@
vastlag	'vAst-lAx
pogode	po-'Go-d@
uitstelde	'Y+t-stEl-d@
synthetiseerde	sIn-te-ti-'zer-d@
loofde	'lov-d@
gewon	x@-'wOn
opwoog	'Op-wox
vervuurde	v@r-'vyr-d@
exposeerde	Eks-po-'zer-d@
pikeerde	pi-'ker-d@
rondfladderde	'rOnt-flA-d@r-d@
schranste	'sxrAns-t@
vergaarde	v@r-'Gar-d@
uitbeeldde	'Y+d-bel-d@
terechtbracht	t@-'rEGd-brAxt
decodeerde	de-ko-'der-d@
transplanteerde	trAns-plAn-'ter-d@
lastte	'lAs-t@
neerdompelde	'ner-dOm-p@l-d@
obstrueerde	Op-stry-'wer-d@
cachetteerde	kA-SE-'ter-d@
limiteerde	li-mi-'ter-d@
proostte	'pros-t@
opbleekte	'O-blek-t@
afsijpelde	'Af-sE+-p@l-d@
warmde	'wArm-d@
bespioneerde	b@-spi-jo-'ner-d@
uitscheen	'Y+t-sxen
terugbelde	t@-'rYG-bEl-d@
kwispelstaartte	'kwIs-p@l-star-t@
arbeidde	'Ar-bE+-d@
ontgaste	Ont-'xAs-t@
solemniseerde	so-lEm-ni-'zer-d@
doorhaalde	'dor-hal-d@
rondtolde	'rOn-tOl-d@
ontdeed	On-'det
omving	Om-'vIN
reikhalsde	'rE+k-hAlz-d@
vrijdong	'vrE+-dON
vooruitzag	vor-'Y+t-sAx
verhipte	v@r-'hIp-t@
afzweerde	'Af-swer-d@
opsleepte	'Op-slep-t@
kroopt	'kropt
ronddoolde	'rOn-dol-d@
opeenstapelde	Op-'en-sta-p@l-d@
wegblies	'wEG-blis
afweerde	'Af-wer-d@
mendelde	'mEn-d@l-d@
bekaamde	b@-'kam-d@
aanspeette	'an-spe-t@
harpte	'hArp-t@
beweende	b@-'wen-d@
vrijkocht	'vrE+-kOxt
smukte	'smYk-t@
fokte	'fOk-t@
bougisseerde	bu-ZI-'ser-d@
ledenbraakte	'le-d@-brak-t@
bendelde	'bEn-d@l-d@
inkaste	'IN-kAs-t@
huidvette	'hY+t-fE-t@
numereerde	ny-m@-'rer-d@
verfronselde	v@r-'frOn-s@l-d@
sulde	'sYl-d@
tiranniseerde	ti-rA-ni-'zer-d@
briefde	'briv-d@
vermuntte	v@r-'mYn-t@
blaakte	'blak-t@
inschakelde	'In-sxa-k@l-d@
inviteerde	In-vi-'ter-d@
loskreeg	'lOs-krex
