inning winning
scheuring keuring
slachter wachter
slachter rachter
stremstof remstof
gullie zullie
vezel wezel
snuiver duiver
schulplijn hulplijn
oorring boring
oorring schoring
plakkerd pakkerd
plakkerd kakkerd
plakkerd stakkerd
plakkerd smakkerd
spruitkool sluitkool
valdeur haldeur
hakbal kakbal
trolley collie
trolley dolly
trolley lolly
waring jaarring
strandvoogd landvoogd
stripster knipster
volling bolling
hokduif lokduif
oker poker
crooner zoener
crooner schoener
crooner doener
de&iuml;st the&iuml;st
aftocht rafttocht
junctie punctie
junctie functie
drijfveer schrijfveer
lering meerring
lering schering
lering wering
lering nering
lering smering
lering veerring
kneedhaak vreethaak
rommel hommel
rommel trommel
kerkvloer werkvloer
vuiler huiler
vuiler druiler
vuiler pruiler
snapster tapster
snapster kapster
roerder loerder
roerder voerder
roerder vloerder
smeerder scheerder
zijtas weitas
koepel hoepel
krammer zwammer
pagaai sagaai
brandweg randweg
brandweg zandweg
lasdraad glasdraad
vloeistof sproeistof
broeiing schoeiing
broeiing vloeiing
broeiing gloeiing
talreep valreep
wending standing
stroefheid droefheid
spinner winner
spinner pinner
koplamp stoplamp
charter tarter
charter starter
charter marter
zending standing
zending schending
zending wending
volder kolder
volder bolder
volder zolder
volder polder
volder rolder
volder folder
lock-out knock-out
docent procent
zander stander
zander brander
vutter schutter
vutter stutter
vutter tutter
vutter cutter
monster tonster
sonde fronde
sonde ronde
sonde wonde
sonde sponde
sonde stonde
wreekster kweekster
wreekster bleekster
dommerd lommerd
dommerd stommerd
dommerd bommerd
droging hoging
zaagtand knaagtand
keitrots krijtrots
kakkerd pakkerd
kakkerd smakkerd
kakkerd stakkerd
doorreis koorreis
buikzwam pruikzwam
ebbe krebbe
ebbe webbe
ebbe snebbe
ebbe lebbe
ebbe rebbe
ebbe gebbe
ebbe grebbe
kerkstoel werkstoel
kluisdeur sluisdeur
kluisdeur huisdeur
rotheid vlotheid
rotheid botheid
klapstoel trapstoel
tola bola
ever gever
ever strever
hoela troela
avers travers
poema doema
breeuwer schreeuwer
here klere
nevel kevel
nevel gevel
nevel stevel
nevel drevel
dwinger slinger
dwinger springer
dwinger vinger
dwinger wringer
vakschool kakschool
moker joker
moker roker
moker poker
moker oker
vrijer spijer
vrijer dijer
vrijer heier
vrijer meier
vrijer rijer
vrijer vleier
bedding redding
bedding wedding
spelfout telfout
voorde koorde
pingel zwingel
pooling koeling
pooling voeling
oplaag koplaag
oplaag toplaag
mentor stentor
kachel rachel
naaister maaister
schoring boring
kater water
kater mater
kater tater
kater schater
streling tweeling
streling greling
streling heling
liedvorm gietvorm
klever wever
klever strever
klever gever
klever kever
klever zever
klever lever
klever shaver
klever ever
klever bever
bussel russell
zaadcel vaatcel
frase base
frase poise
frase fase
pikker kikker
pikker prikker
duingrond tuingrond
schilling stilling
schilling gilling
schilling grilling
zandrug landrug
lorre schorre
tiener ziener
tiener griener
smelter skelter
dienbak kiembak
sweater pletter
sweater spetter
sweater ketter
sweater zetter
sweater netter
sweater vletter
moelie pulli
moelie poelie
moelie koelie
donker ronker
donker pronker
donker bonker
tele stele
typo pipo
typo hypo
klaring jaarring
klaring haring
klaring waring
klaring baring
randzaag handzaag
